JPM BAC WFC GS MS C SCHW BLK SPGI AXP JNJ PFE MRK ABBV UNH LLY TMO ABT BMY CVS XOM CVX COP SLB OXY KO PG PEP WMT HD MCD NKE DIS COST LOW BA CAT GE HON UPS RTX LMT MMM DE V MA IBM ORCL CSCO T VZ
220.30 40.70 58.37 487.46 99.27 61.46 64.79 886.43 483.25 254.31 167.16 28.30 116.58 197.69 598.68 956.53 606.43 114.66 50.52 57.38 115.47 144.66 109.85 42.29 55.40 73.01 174.52 177.54 77.17 364.74 285.52 81.32 89.13 878.57 245.46 161.02 340.24 164.21 202.50 127.50 120.99 567.22 130.85 385.69 278.54 482.12 201.28 139.50 50.06 20.43 42.93
219.33 40.50 58.12 490.64 100.15 60.96 63.90 886.49 485.63 251.74 167.36 28.39 115.80 197.01 604.18 946.31 611.90 114.40 49.96 59.30 114.06 142.07 108.56 41.32 54.63 72.56 175.90 178.52 77.24 364.67 288.03 81.02 89.25 890.02 245.45 163.22 336.75 166.36 203.17 128.92 121.11 574.78 132.15 391.95 280.49 483.14 204.11 140.75 49.70 20.57 41.48
217.63 40.14 56.86 487.88 99.56 60.63 63.69 876.64 489.12 251.84 164.99 28.51 118.59 192.86 595.49 912.75 606.88 113.10 49.80 58.07 113.17 140.93 107.45 41.22 53.74 71.17 175.47 179.30 76.96 361.85 287.97 80.83 88.65 885.98 244.11 162.15 333.56 163.85 200.64 127.40 119.64 568.59 131.40 383.69 278.62 477.36 202.59 142.61 49.13 20.65 41.31
212.46 38.76 54.00 479.61 96.59 59.09 62.90 866.92 483.10 244.06 164.38 28.56 117.84 193.40 596.88 902.71 611.33 113.86 48.70 57.75 112.64 138.56 106.02 40.62 52.03 71.14 175.59 177.34 76.64 360.05 289.51 80.63 87.94 876.68 243.81 157.62 329.36 161.23 195.85 127.54 118.44 566.63 128.60 381.56 279.37 476.12 200.74 141.81 48.50 20.97 41.15
216.81 39.47 54.59 488.57 98.18 59.54 63.01 877.94 488.01 250.92 166.61 29.41 115.41 196.42 594.10 908.27 620.42 116.43 48.50 56.47 115.01 140.30 105.60 40.41 52.18 71.85 176.06 178.19 77.34 365.52 291.29 79.49 88.34 896.49 244.73 162.91 334.04 165.35 198.84 128.88 121.16 576.57 128.46 387.23 285.61 487.09 203.53 139.89 48.70 21.50 42.73
205.56 39.28 53.95 467.13 96.62 57.95 63.06 883.83 491.91 245.42 167.38 29.74 115.33 199.35 599.03 901.25 624.21 117.11 49.28 56.94 110.82 138.23 104.00 39.59 51.39 71.55 177.79 177.81 78.81 370.87 291.27 78.09 88.40 894.29 247.38 160.07 334.16 166.98 198.63 129.83 120.30 572.19 130.09 387.30 285.34 488.02 205.32 155.89 48.79 21.71 43.65
207.23 39.00 53.73 471.17 97.03 57.30 63.41 877.12 487.99 254.18 164.82 29.66 114.71 194.59 589.75 920.89 618.46 116.60 48.59 56.11 109.72 137.88 102.57 39.57 50.66 71.08 173.92 175.78 78.84 370.49 290.23 78.40 88.32 900.40 247.38 161.33 335.00 166.35 201.69 128.50 119.26 566.96 130.23 388.59 283.96 488.18 209.89 157.18 49.11 21.45 43.80
206.60 38.78 51.57 474.06 96.64 57.33 61.74 885.12 491.97 255.15 164.64 29.16 115.25 194.02 588.42 935.02 614.16 116.83 48.24 57.53 111.23 139.21 102.90 39.80 50.99 71.23 173.47 177.25 79.66 374.43 292.35 78.40 89.30 915.03 252.05 162.77 339.58 169.70 202.31 128.42 120.10 568.27 132.03 387.00 285.37 492.11 211.61 161.38 49.61 21.59 43.86
204.32 38.65 52.78 478.99 98.25 57.67 62.12 885.73 491.44 259.00 165.52 29.27 115.86 194.21 594.32 923.71 611.17 116.40 49.13 57.98 111.15 140.61 103.50 39.96 51.05 71.41 174.08 177.36 80.60 379.99 296.53 79.01 90.55 916.00 255.41 156.77 345.31 178.28 201.80 127.24 119.12 569.91 133.18 394.68 287.35 493.36 214.79 162.03 49.80 21.64 44.43
207.86 39.10 53.79 485.16 100.09 58.39 63.69 895.18 498.94 261.09 166.99 30.07 117.96 195.73 589.14 923.54 614.15 117.63 49.99 58.37 112.71 142.09 105.55 40.40 51.29 72.10 177.24 177.21 80.56 382.01 296.69 79.80 91.85 907.87 256.64 155.55 347.96 181.44 202.32 128.91 119.20 572.92 134.61 394.66 290.48 497.71 217.16 170.33 51.03 22.27 45.00
